名称,大类,中类,经度,纬度,省份,地级市,category
全记群星美食,餐饮美食,小吃快餐,113.868384,22.252197,香港特别行政区,香港特别行政区,Rehabus_Ops
信兴便利超市,购物消费,便利店,113.868632,22.250378,香港特别行政区,香港特别行政区,Core_Necessity
半路棚豆腐花,餐饮美食,小吃快餐,113.865014,22.252113,香港特别行政区,香港特别行政区,Rehabus_Ops
大澳吉庆后街,餐饮美食,小吃快餐,113.867352,22.254233,香港特别行政区,香港特别行政区,Rehabus_Ops
龚记号,购物消费,便利店,113.866758,22.251416000000003,香港特别行政区,香港特别行政区,Core_Necessity
珍珍食店,餐饮美食,小吃快餐,113.867021,22.251301,香港特别行政区,香港特别行政区,Rehabus_Ops
华利小食,餐饮美食,小吃快餐,113.868199,22.250596,香港特别行政区,香港特别行政区,Rehabus_Ops
澳悠游礼品廊Oyoyo Gift Gallery,购物消费,便利店,113.86703,22.251629,香港特别行政区,香港特别行政区,Core_Necessity
李耀礼注册中医,医疗保健,诊所,113.867665,22.250851,香港特别行政区,香港特别行政区,Core_Necessity
陆景佳医生,医疗保健,诊所,113.859858,22.250364,香港特别行政区,香港特别行政区,Core_Necessity
陈俊文注册中医,医疗保健,诊所,113.867055,22.251411,香港特别行政区,香港特别行政区,Core_Necessity
大澳赛马会普通科门诊诊所,医疗保健,诊所,113.862985,22.252839,香港特别行政区,香港特别行政区,Core_Necessity
锦英中西药行,医疗保健,医药销售,113.859828,22.250376,香港特别行政区,香港特别行政区,Core_Necessity
冰冰,餐饮美食,小吃快餐,113.867034,22.251379,香港特别行政区,香港特别行政区,Rehabus_Ops
三兴行,购物消费,便利店,113.867618,22.252072,香港特别行政区,香港特别行政区,Core_Necessity
福生堂中西药行,医疗保健,医药销售,113.867438,22.250937,香港特别行政区,香港特别行政区,Core_Necessity
新医综合诊所,医疗保健,诊所,113.867774,22.250952,香港特别行政区,香港特别行政区,Core_Necessity
公厕,生活服务,公厕,113.997774,22.239056,香港特别行政区,香港特别行政区,Core_Necessity
公厕,生活服务,公厕,113.986222,22.238799,香港特别行政区,香港特别行政区,Core_Necessity
公厕,生活服务,公厕,113.98426,22.241965,香港特别行政区,香港特别行政区,Core_Necessity
公厕,生活服务,公厕,113.999687,22.236455,香港特别行政区,香港特别行政区,Core_Necessity
芝麻湾,交通设施,轮渡,114.00532,22.23682,香港特别行政区,香港特别行政区,Transit_Link
海景士多,购物消费,便利店,113.986817,22.234099,香港特别行政区,香港特别行政区,Core_Necessity
新兴士多,购物消费,便利店,113.984036,22.241722,香港特别行政区,香港特别行政区,Core_Necessity
富瑶士多,购物消费,便利店,113.985724,22.238743,香港特别行政区,香港特别行政区,Core_Necessity
冰冻雪条售卖点,餐饮美食,小吃快餐,114.025346,22.227429,香港特别行政区,香港特别行政区,Rehabus_Ops
喜灵洲,交通设施,轮渡,114.031747,22.253969,香港特别行政区,香港特别行政区,Transit_Link
mcdonalds,餐饮美食,小吃快餐,114.006877,22.261467,香港特别行政区,香港特别行政区,Rehabus_Ops
南山郊野生态公园,旅游景点,公园,113.992346,22.252846,香港特别行政区,香港特别行政区,Social_Wellness
公厕,生活服务,公厕,114.008384,22.269413,香港特别行政区,香港特别行政区,Core_Necessity
公厕,生活服务,公厕,114.005967,22.262956,香港特别行政区,香港特别行政区,Core_Necessity
公厕,生活服务,公厕,113.993305,22.253443,香港特别行政区,香港特别行政区,Core_Necessity
